Broad_ID,Name,SMILES,Mean_Inhibition,ClinTox (low = less predicted toxicity)
BRD-K37379014-001-02-0,filanesib,CON(C)C(=O)N1N=C(S[C@@]1(CCCN)c1ccccc1)c1cc(F)ccc1F,0.82215,0.423488766
BRD-K34437622-001-08-0,5-FP,Oc1ncc(F)cn1,0.73045,0.040800136
BRD-K66213167-001-01-2,RX-3117,Nc1ccn([C@H]2[C@H](O)[C@H](O)C(CO)=C2F)c(=O)n1,0.90855,0.307730585
BRD-K32007074-001-01-1,enocitabine,CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.784,0.042064819
BRD-K03083257-001-01-6,1-octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,0.70265,0.000385701
BRD-K68928792-001-02-4,aldoxorubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(\CO)=N\NC(=O)CCCCCN1C(=O)C=CC1=O,0.64185,0.538452089
BRD-K03128512-001-02-8,MK-2048,CCN1C[C@H](C)n2c(c(O)c3c2c(nn(Cc2ccc(F)c(Cl)c2)c3=O)C(=O)NC)C1=O,0.66045,0.006607238
BRD-K37602296-001-01-6,NS-309,ON=C1C(=O)Nc2c1ccc(Cl)c2Cl,0.82525,0.010307887
BRD-K38913877-300-01-9,azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,0.87235,0.979066074
BRD-K65904673-001-01-4,tandospirone,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(CC1)c1ncccn1,0.85785,0.990471244
BRD-K57243773-001-02-4,FRAX486,CCn1c2nc(Nc3ccc(N4CCNCC4)c(F)c3)ncc2cc(-c2ccc(Cl)cc2Cl)c1=O,0.7276,0.693212569
BRD-K44942188-001-09-1,fomocaine,C(CN1CCOCC1)Cc1ccc(COc2ccccc2)cc1,0.76872,
BRD-K76719364-001-02-5,GS-9973,C1CN(CCO1)c1ccc(Nc2nc(cn3ccnc23)-c2ccc3cn[nH]c3c2)cc1,0.88842,
BRD-K51087630-001-01-6,tirasemtiv,CCC(CC)n1c2nc(cnc2[nH]c1=O)C#C,0.81816,
BRD-A59747053-003-01-3,indeloxazine,C(Oc1cccc2C=CCc12)C1CNCCO1,0.80832,
BRD-K20672254-046-04-7,pyrantel-tartrate,CN1CCCN=C1\C=C\c1cccs1,0.80472,
BRD-K67760597-240-01-5,barium-6-O-phosphonato-D-glucose,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C=O,0.8121,
BRD-K53849769-001-01-0,O4I1,COc1ccc(COc2ccc(CC#N)cc2)cc1,0.81264,
BRD-K13094524-001-09-1,PFI-1,COc1ccccc1S(=O)(=O)Nc1ccc2NC(=O)N(C)Cc2c1,0.79002,
BRD-K76549667-001-04-6,phenol,Oc1ccccc1,0.82776,
BRD-K25146005-001-01-0,cis-urocanic acid,OC(=O)\C=C/c1c[nH]cn1,0.80862,
BRD-K52670952-003-01-4,cis-urocanic-acid,OC(=O)\C=C\c1c[nH]cn1,0.80784,
BRD-K39061174-001-01-0,beta-glycerophosphoric-acid,OCC(CO)OP(O)(O)=O,0.82584,
BRD-K87573013-001-01-0,CL-225385,O=C(CC#N)c1ccccc1,0.80124,
BRD-K43187796-001-02-3,3-indolebutyric-acid,OC(=O)CCCc1c[nH]c2ccccc12,0.79668,
BRD-K28687144-001-08-7,fosfosal,OC(=O)c1ccccc1OP(O)(O)=O,0.81594,
BRD-K26514105-001-01-7,GSK-37647,COc1ccc(cc1)S(=O)(=O)Nc1c(C)cc(C)cc1C,0.82452,
BRD-K48684885-001-04-2,BAY-11-7085,CC(C)(C)c1ccc(cc1)S(=O)(=O)\C=C\C#N,0.78672,
BRD-K61337602-003-02-1,naratriptan,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,0.81012,
BRD-K83114366-001-02-8,PF-06447475,N#Cc1cccc(c1)-c1c[nH]c2ncnc(N3CCOCC3)c12,0.8157,
BRD-K22749967-046-02-3,ABT-239,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N,0.80898,
BRD-K27141178-003-07-3,SB-203186,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,0.81426,
BRD-K21071223-001-02-8,VP-20629,OC(=O)CCc1c[nH]c2ccccc12,0.8031,
BRD-A27143604-001-02-0,diarylpropionitrile,Oc1ccc(CC(C#N)c2ccc(O)cc2)cc1,0.78612,
BRD-K15025317-001-17-7,BAY-11-7082,Cc1ccc(cc1)S(=O)(=O)\C=C\C#N,0.045,
BRD-K11696279-003-02-3,BU-239,C1CN=C(N1)c1cnc2ccccc2n1,0.8091,
BRD-K02501528-001-01-1,S18986,O=S1(=O)N[C@H]2CCCN2c2ccccc12,0.8034,
BRD-K37793595-003-01-7,afobazole,CCOc1ccc2[nH]c(SCCN3CCOCC3)nc2c1,0.79908,
BRD-K43055376-001-01-2,ADD-233089,Clc1ccc(cc1)N1CC(=NC1=O)N1CCOCC1,0.79542,
BRD-A75817871-001-06-7,blebbistatin-(+/-),Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1,0.83148,
BRD-K61295575-001-03-6,blebbistatin-(-),Cc1ccc2N=C3N(CC[C@@]3(O)C(=O)c2c1)c1ccccc1,0.81516,
BRD-K26997899-001-02-2,D-64131,COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1,0.81318,
BRD-K97472745-001-01-8,gestrinone,CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,0.81378,
